,USERS,Purchases,Spent
0,889261,69,502.25
1,889262,60,3145.4500000000007
2,889271,19,1362.7699900000002
3,889272,32,161.80001000000001
4,889281,46,1556.7099999999998
5,889282,136,8342.87099
6,889291,50,344.03999999999996
7,889292,46,1206.1299999999999
8,889301,16,701.25001
9,889302,5,176.55
10,889311,9,23.32
11,889312,9,826.2
12,889321,28,1051.2700000000002
13,889322,51,548.09
14,889331,63,785.4699999999999
15,889341,68,737.7000099999999
16,889342,66,2389.2800200000006
17,889351,8,158.82999999999998
18,889352,16,179.25
19,889361,83,784.9099999999999
20,889362,67,988.46
21,889371,36,613.25
22,889381,65,595.5200000000001
23,889392,32,484.70000000000005
24,889401,20,322.37999
25,889402,25,525.62
26,889411,54,1333.4299999999996
27,889412,53,265.56
28,889421,29,217.75
29,889422,9,123.30000000000001
30,889431,20,149.32999999999998
31,889432,17,76.06
32,889441,21,154.4
33,889442,44,748.12001
34,889461,38,1377.76
35,889462,79,920.98001
36,889471,24,47.64
37,889472,35,75.67
38,889491,26,318.39000000000004
39,889492,2,87.91
40,889501,11,122.79
41,889511,41,159.28
42,889512,16,793.79
43,889522,83,1174.49
44,889531,67,660.2199999999999
45,889532,33,1202.01
46,889542,54,1918.7399799999998
47,889562,97,1628.4200000000003
48,889571,12,54.84001
49,889572,23,236.96
50,889581,30,364.84999999999997
51,889582,14,169.61
52,889591,18,154.73000000000002
53,889592,31,1282.7900000000002
54,889601,21,67.34
55,889602,27,146.61999999999998
56,889611,53,285.0
57,889612,47,738.7500299999999
58,889621,24,1868.68
59,889622,15,285.41
60,889631,6,862.5000000000001
61,889632,2,37.720000000000006
62,889652,65,2953.7099999999996
63,889662,38,486.70743000000004
64,889672,24,465.00999
65,889681,26,165.46
66,889682,25,159.12
67,889691,124,971.22
68,889692,90,1266.00001
69,889701,15,93.01000000000003
70,889702,7,278.62000000000006
71,889711,15,41.60002
72,889712,14,36.39999
73,889721,25,160.55999999999997
74,889731,71,5228.479980000001
75,889732,40,1529.5583000000001
76,889741,43,1319.34
77,889772,6,145.7
78,889792,6,444.0
79,889801,83,7871.2
80,889802,39,1055.9699999999998
81,889811,58,1025.08
82,889812,45,321.61
83,889821,64,13154.622
84,889822,47,1025.92001
85,889831,43,406.36
86,889832,35,1148.0399999999997
87,889841,7,22.990000000000002
88,889842,7,26.32
89,889852,69,651.6499900000001
90,889861,9,54.0
91,889871,34,123.49
92,889872,38,123.18
93,889881,131,4106.23
94,889892,7,105.0
95,889901,28,1288.73999
96,889911,15,109.75
97,889912,13,1180.6200000000003
98,889921,27,529.3500000000001
99,889922,44,270.7799999999999
100,889931,10,416.38
101,889951,30,2553.55
102,889952,17,1265.5
103,889961,122,5625.22101
104,889962,10,5729.570000000001
105,889971,35,282.26
106,889981,18,158.26
107,889982,21,1348.5100000000004
108,889991,33,57.120000000000005
109,889992,20,757.24
110,890001,22,125.22
111,890011,26,722.6542099999999
112,890031,24,1074.12
113,890032,10,98.24
114,890041,58,897.04
115,890042,54,568.0600000000001
116,890061,28,407.93
117,890062,33,1037.56
118,890072,91,924.9000000000001
119,890081,52,270.2699999999999
120,890082,3,57.53
121,890112,65,1195.71
122,890121,19,168.66
123,890122,66,450.71000000000004
124,890131,26,404.6
125,890132,19,357.30999999999995
126,890141,21,800.86
127,890142,19,258.05000000000007
128,890152,48,581.21
129,890162,18,100.3
130,890171,79,610.76001
131,890172,35,422.62
132,890181,66,712.3100000000001
133,890182,43,1041.74
134,890202,59,329.61999999999995
135,890212,164,2143.26
136,890221,68,1225.1700000000005
137,890222,45,171.14000000000001
138,890231,29,1024.89
139,890232,12,194.9
140,890241,11,101.16000000000001
141,890251,54,388.76000000000005
142,890252,11,137.04
143,890261,20,269.95000000000005
144,890262,31,260.52000000000004
145,890271,60,1953.5700000000002
146,890272,48,933.5899999999999
147,890281,48,338.79
148,890282,62,505.22
149,890291,36,514.49
150,890302,16,203.53999000000002
151,890312,23,163.14999999999995
152,890331,40,683.74
153,890332,36,2934.34
154,890341,8,852.42
155,890342,20,198.85999999999999
156,890352,29,630.9499999999999
157,890361,80,983.2500000000001
158,890362,59,926.4699999999999
159,890371,109,2005.19
160,890372,75,1005.6200000000001
161,890381,57,354.00001000000003
162,890391,34,2403.04
163,890401,96,1592.07001
164,890402,24,258.7
165,890411,13,103.59999999999998
166,890412,16,137.31
167,890421,24,102.4
168,890422,13,70.11
169,890431,23,177.73999999999998
170,890432,45,211.3
171,890451,25,307.26000000000005
172,890452,32,1226.3200000000002
173,890461,39,282.29999999999995
174,890471,42,919.89
175,890472,67,1681.3999999999999
176,890481,9,789.39
177,890482,37,3101.15001
178,890491,20,127.16000000000001
179,890492,2,178.85
180,890501,25,151.35000000000002
181,890502,17,841.63
182,890512,5,212.19000000000003
183,890521,99,535.9099900000001
184,890522,53,184.27
185,890531,19,259.14
186,890532,19,424.14
187,890542,22,1424.5200000000002
188,890551,52,1005.71
189,890552,65,543.39
190,890561,111,2375.8200000000006
191,890562,101,6062.249999999999
192,890571,13,209.32999
193,890581,39,632.6999999999999
194,890582,34,439.48
195,890591,27,81.99996999999999
196,890601,69,530.3900000000001
197,890612,13,709.348
198,890621,54,1230.45
199,890622,46,790.49
200,890631,38,189.89999999999998
201,890632,18,49.589999999999996
202,890641,24,125.28
203,890661,4,9.48
204,890672,20,154.04999999999998
205,890681,9,32.64
206,890682,46,230.59000000000003
207,890691,28,678.7399999999999
208,890692,7,388.46
209,890701,47,437.19
210,890702,72,561.02
211,890711,93,882.1999999999999
212,890712,43,213.32999999999998
213,890721,12,905.9399999999999
214,890722,20,759.73
215,890741,115,2455.1300199999996
216,890742,46,1197.3500000000004
217,890751,68,259.90999999999997
218,890752,1,32.5
219,890761,28,55.07999
220,890771,19,91.02
221,890772,9,4029.9300000000003
222,890781,19,57.199999999999996
223,890782,16,40.91
224,890791,6,112.47
225,890792,4,688.1800000000001
226,890801,1,2.49
227,890802,13,180.85
228,890821,16,331.72
229,890822,13,75.58
230,890831,28,482.11
231,890832,24,320.13
232,890851,89,909.76
233,890852,50,799.9900000000001
234,890861,11,125.88000000000001
235,890862,8,203.48000000000002
236,890871,3,24.900000000000002
237,890872,1,15.78
238,890881,53,856.99999
239,890882,14,686.99001
240,890892,35,425.2
241,890902,15,439.35
242,890911,56,317.34999999999997
243,890912,73,527.77
244,890931,30,280.71
245,890932,37,406.22
246,890941,37,613.73
247,890942,53,924.3700000000001
248,890961,20,76.88
249,890962,4,2223.0499999999997
250,890971,20,178.17999999999995
251,890972,37,127.53
252,890981,34,938.47
253,890982,32,1813.7600000000002
254,890991,31,4865.880010000001
255,890992,39,3132.75
256,891011,28,215.67
257,891012,33,765.4
258,891021,58,1233.27
259,891022,61,550.9399999999999
260,891031,7,39.5
261,891032,58,1494.9900000000005
262,891041,58,2713.71
263,891042,61,4761.740000000001
264,891051,37,662.35
265,891052,70,1716.16999
266,891061,33,1708.84
267,891062,43,293.44
268,891071,19,65.13
269,891072,23,106.38
270,891081,23,64.20002
271,891082,3,47.08
272,891091,45,1700.1299999999999
273,891092,29,1529.73
274,891101,3,58.0
275,891102,26,68.74999
276,891111,44,1199.09001
277,891112,31,174.90999999999997
278,891121,30,267.00000000000006
279,891122,28,183.21
280,891131,20,552.44
281,891132,6,11.04
282,891141,44,503.00001
283,891142,43,218.0
284,891152,60,1257.1000000000001
285,891161,64,1964.16
286,891171,67,319.53
287,891172,59,247.28
288,891181,76,506.16
289,891182,66,359.79001
290,891191,23,224.78000000000003
291,891192,6,42.76
292,891201,21,556.6900000000002
293,891202,15,99.04
294,891211,27,183.21
295,891212,129,2414.69999
296,891222,39,437.37
297,891231,26,6896.780000000001
298,891241,49,2413.88
299,891242,81,3623.34001
300,891251,24,1463.85
301,891252,31,177.14283
302,891261,27,442.56998999999996
303,891262,13,509.37
304,891271,61,3091.4700000000003
305,891272,55,1217.88999
306,891282,2,7.17
307,891291,41,241.00001999999998
308,891292,10,1225.0
309,891301,52,7480.791
310,891302,74,5091.91001
311,891311,50,1806.3099999999997
312,891312,31,666.11
313,891322,29,303.36
314,891331,60,356.87001
315,891332,58,821.6700199999999
316,891341,31,1565.22
317,891342,30,859.4599999999999
318,891352,85,1188.4499999999998
319,891361,31,222.37999999999997
320,891362,34,457.97
321,891371,39,431.82999
322,891372,9,95.19000000000001
323,891381,68,4898.549999999999
324,891382,51,2927.4210000000003
325,891391,31,404.80999999999995
326,891392,48,327.95
327,891401,50,906.0600000000002
328,891402,43,376.64
329,891421,6,137.94
330,891422,19,206.45000000000002
331,891431,56,732.52999
332,891432,3,69.6
333,891451,26,2049.91
334,891452,41,643.4599999999999
335,891461,18,301.24
336,891471,3,478.78
337,891472,60,318.92996
338,891491,2,16.689999999999998
339,891501,15,99.94
340,891502,6,90.6
341,891512,5,97.03
342,891521,92,583.76
343,891522,37,636.4
344,891531,7,102.44
345,891532,10,95.58000000000001
346,891541,27,95.0
347,891551,8,49.20000000000001
348,891552,1,10.0
349,891561,31,1274.30001
350,891562,48,995.2099999999999
351,891571,152,2496.63
352,891572,139,1657.8
353,891582,30,105.92999999999999
354,891591,71,521.49
355,891592,57,824.21999
356,891601,30,113.10000000000001
357,891602,19,446.96000000000004
358,891611,2,30.75
359,891612,20,129.82999999999998
360,891622,38,513.26
361,891631,25,3264.24001
362,891632,46,3195.917
363,891641,33,293.13000000000005
364,891642,23,80.94999999999999
365,891651,24,417.04001000000005
366,891652,31,202.66999
367,891661,20,168.17000000000002
368,891662,16,135.13
369,891671,51,682.34
370,891672,12,196.05000000000004
371,891691,43,244.82
372,891692,64,324.71998
373,891701,51,504.81
374,891702,21,494.50000000000006
375,891711,52,913.4299799999999
376,891712,48,401.12
377,891721,1,83.93
378,891722,26,114.05999
379,891741,40,546.06578
380,891742,40,2285.44
381,891751,64,459.10001
382,891761,40,597.11
383,891762,11,336.66999999999996
384,891771,26,1810.5500000000002
385,891772,30,976.8999999999999
386,891781,15,410.78999999999996
387,891782,4,157.73000000000002
388,891791,28,222.62000000000003
389,891792,29,142.83002000000002
390,891801,26,233.2
391,891802,23,213.22
392,891811,34,408.22999999999996
393,891812,60,2174.89001
394,891821,15,41.83999999999999
395,891831,42,254.33999999999995
396,891832,8,67.96000000000001
397,891841,42,272.27
398,891842,30,76.87
399,891851,10,205.6
400,891852,10,205.6
401,891861,30,341.3
402,891862,44,858.3
403,891871,37,400.75001000000003
404,891872,63,609.8699700000001
405,891881,9,109.43
406,891882,13,70.77
407,891891,45,320.15
408,891901,54,343.09999999999997
409,891902,37,189.99999
410,891921,39,1717.9899999999998
411,891931,5,505.09
412,891932,13,663.4200000000001
413,891942,36,253.85
414,891951,42,239.85000000000002
415,891952,50,433.04999999999995
416,891972,32,319.97
417,891981,24,953.1500099999998
418,891982,7,150.89
419,891992,55,201.64000000000001
420,892001,51,251.11
421,892002,42,182.04999999999998
422,892012,40,854.4209999999999
423,892021,15,274.7199999999999
424,892022,16,120.49000000000001
425,892041,38,299.99
426,892042,27,220.18999999999997
427,892051,75,564.6899999999999
428,892052,16,51.83
429,892062,23,164.57
430,892071,26,140.59
431,892072,25,151.91
432,892091,35,130.41
433,892092,22,93.79
434,892102,13,74.43
435,892111,37,96.65
436,892112,12,1685.35
437,892121,41,74.01
438,892122,39,135.17
439,892131,11,77.43
440,892132,13,69.53999999999999
441,892141,62,1254.7100299999997
442,892142,14,63.56000999999999
443,892151,49,411.12001000000004
444,892152,45,925.64
445,892161,39,1821.45999
446,892171,64,827.0
447,892181,63,264.74001
448,892182,39,323.19999999999993
449,892191,80,2648.4
450,892192,58,2385.3500000000004
451,892201,24,663.4
452,892202,21,230.55
453,892211,30,522.59999
454,892212,47,2039.67
455,892221,22,885.0300000000002
456,892222,23,966.21
457,892231,94,7855.000999999999
458,892232,24,570.4200000000001
459,892241,18,55.9
460,892242,12,26.040000000000003
461,892251,14,55.48
462,892271,25,455.53999999999996
463,892281,30,1717.58
464,892282,24,170.44
465,892291,72,1183.35
466,892292,39,321.73999999999995
467,892301,5,121.78
468,892302,1,45.0
469,892332,31,1823.07
470,892341,26,158.55998
471,892342,2,119.88
472,892351,15,115.94
473,892352,26,185.56
474,892361,20,315.25000000000006
475,892362,50,732.7
476,892371,20,3692.1599999999994
477,892372,34,438.77
478,892381,18,149.45000000000002
479,892382,69,841.6800000000001
480,892391,84,989.50998
481,892392,85,599.20998
482,892401,15,76.73999999999998
483,892402,2,10.57
484,892411,58,1397.0299900000002
485,892412,42,489.12999
486,892421,26,102.04999999999998
487,892432,26,2521.17
488,892441,4,144.23000000000002
489,892451,37,215.79999
490,892452,54,358.99999
491,892461,27,897.22
492,892462,34,263.32000000000005
493,892471,163,2714.17
494,892472,2,10.4
495,892481,41,789.22999
496,892482,29,500.38
497,892491,31,607.11999
498,892492,31,123.76001
499,892501,1,23.82
500,892502,22,63.56000000000001
501,892521,77,1047.76999
502,892522,44,832.39
503,892531,30,433.74
504,892532,38,822.87
505,892541,1,1233.145
506,892542,31,134.64999
507,892552,17,383.46000000000004
508,892561,42,780.8900000000001
509,892562,44,1092.4899999999998
510,892571,23,392.59680000000003
511,892572,16,426.47
512,892581,62,2816.27
513,892591,38,197.77000000000004
514,892592,39,573.6999999999998
515,892601,41,2903.2300000000005
516,892602,53,827.1300000000001
517,892611,15,103.8
518,892612,6,64.88
519,892622,40,120.07
520,892631,14,66.7
521,892632,8,27.119999999999997
522,892641,19,155.56
523,892642,22,63.84
524,892651,57,1974.53
525,892652,38,329.17
526,892661,40,294.84000000000003
527,892662,22,2972.9
528,892671,61,1124.34833
529,892672,59,1777.4999999999998
530,892682,8,112.60000000000001
531,892691,12,311.33
532,892692,32,119.56
533,892701,5,156.0
534,892711,51,1326.0900000000001
535,892712,47,246.40002
536,892721,23,924.37
537,892731,59,308.09000000000003
538,892732,92,1317.2300000000002
539,892741,27,201.27
540,892742,7,70.39999999999999
541,892752,35,2778.1899999999996
542,892761,45,158.87000999999998
543,892762,12,416.65999999999997
544,892771,28,320.7
545,892772,33,371.62999999999994
546,892781,25,468.52000000000004
547,892782,5,24.669999999999998
548,892801,45,1043.6899999999998
549,892802,35,296.69
550,892811,8,33.69
551,892831,30,1306.0699899999997
552,892832,28,174.5
553,892841,57,664.27
554,892842,33,822.08
555,892851,41,642.8
556,892852,40,564.0
557,892861,29,225.56
558,892862,47,420.43
559,892881,10,543.03
560,892891,68,326.20997
561,892892,74,379.22998
562,892901,30,193.42999999999995
563,892902,19,1233.52
564,892911,40,1202.95999
565,892912,56,1303.03
566,892921,66,3152.66
567,892922,38,3478.2400099999995
568,892932,14,715.5100000000001
569,892941,56,633.95
570,892951,40,580.4200000000001
571,892971,51,725.8100000000001
572,892972,101,1741.20001
573,892991,53,209.86000000000004
574,892992,52,262.97
575,893001,32,476.9
576,893002,35,464.05000000000007
577,893011,12,46.449999999999996
578,893012,9,441.57
579,893021,32,339.89
580,893022,45,834.69999
581,893031,17,379.21000000000004
582,893032,38,398.18
583,893051,34,1142.31
584,893052,29,463.46000000000004
585,893071,54,205.10999999999999
586,893072,27,153.49
587,893081,13,106.71000000000001
588,893082,25,676.9899899999999
589,893091,25,653.46
590,893092,45,583.52
591,893111,28,204.97998
592,893112,30,246.21001
593,893121,65,920.6999999999998
594,893131,87,563.0799999999999
595,893132,45,487.1400000000001
596,893141,17,332.05999999999995
597,893142,40,567.77
598,893151,43,150.00002
599,893152,48,150.0
600,893161,35,275.15999999999997
601,893162,38,560.7
602,893171,32,495.32000000000005
603,893172,27,694.96
604,893181,20,381.31
605,893182,28,14293.7
606,893191,27,1866.17
607,893192,7,79.50999999999999
608,893201,71,305.25
609,893202,39,204.5
610,893211,21,231.87000000000003
611,893212,62,479.24999999999994
612,893221,85,847.2900000000001
613,893222,76,888.9499900000001
614,893242,11,48.94
615,893252,89,1178.55
616,893261,19,149.07999999999998
617,893271,35,339.27
618,893272,46,6877.700999999999
619,893282,66,310.46000000000004
620,893291,29,230.01
621,893292,47,290.86
622,893302,14,38.52
623,893312,41,2532.13
624,893321,33,408.81
625,893322,42,1677.9999900000003
626,893331,5,13.0
627,893332,6,13.0
628,893341,40,576.18001
629,893342,60,578.55
630,893351,36,1032.00002
631,893352,58,250.00001
632,893361,50,2161.9000300000002
633,893362,36,449.44000000000005
634,893372,53,1621.99002
635,893381,49,634.63
636,893382,44,1975.5200000000002
637,893391,88,633.8299900000001
638,893392,17,1693.56
639,893401,17,585.12
640,893402,6,439.08
641,893411,5,22.73
642,893421,53,211.3
643,893422,21,100.51999999999998
644,893431,7,81.2
645,893432,34,1622.3200000000004
646,893441,60,215.04000000000002
647,893442,61,201.33
648,893451,17,160.01999999999995
649,893452,28,170.32
650,893462,24,47.39
651,893471,26,514.7800000000001
652,893472,4,77.5
653,893481,11,198.15
654,893482,24,461.19000000000005
655,893491,44,514.69
656,893492,15,99.11
657,893501,49,637.65999
658,893502,36,818.23
659,893511,16,57.769999999999996
660,893512,1,30.0
661,893521,23,745.9400200000001
662,893522,16,150.10998999999998
663,893531,18,72.94
664,893551,106,2074.99
665,893552,72,882.8
666,893561,54,370.79
667,893562,34,1369.3899999999999
668,893571,56,717.77
669,893572,39,360.70000000000005
670,893581,39,743.58998
671,893582,27,318.79999999999995
672,893591,125,903.15
673,893592,34,944.56
674,893601,117,1227.1499999999999
675,893602,3,121.86999999999999
676,893611,47,1283.9100000000003
677,893612,77,2388.04
678,893621,33,1062.2499999999998
679,893622,11,53.53
680,893631,66,281.1
681,893632,38,475.7800000000001
682,893641,70,1964.8699699999995
683,893642,67,465.16002
684,893651,13,60.95
685,893652,34,116.87
686,893671,44,892.03
687,893672,19,159.01999999999998
688,893681,46,3552.05768
689,893682,10,70.24
690,893691,30,378.59000000000003
691,893692,16,156.12
692,893702,108,1783.93
693,893712,35,331.52000000000004
694,893721,55,606.3499800000001
695,893722,54,457.02999
696,893741,28,635.5099899999999
697,893742,14,445.84000000000003
698,893751,23,96.64
699,893752,22,588.93001
700,893761,56,2169.9800000000005
701,893762,79,833.28
702,893781,87,2120.88
703,893782,60,711.49
704,893791,24,645.72
705,893792,18,1565.8300000000002
706,893801,77,337.81
707,893802,83,9287.159990000002
708,893811,89,879.8800000000001
709,893812,100,683.1300000000001
710,893831,28,139.18999999999997
711,893832,36,425.32000000000005
712,893841,96,1868.82
713,893851,25,276.44
714,893852,33,1235.32
715,893861,108,368.63
716,893862,119,889.1799999999998
717,893872,28,3239.5299999999997
718,893881,14,258.2
719,893882,15,258.20002
720,893891,64,1046.1599999999999
721,893901,54,690.71
722,893902,50,253.58
723,893921,8,70.25
724,893922,3,54.5
725,893931,18,254.08
726,893932,21,1704.2200000000003
727,893941,65,427.56
728,893942,54,774.9899999999999
729,893961,1,1.0
730,893962,35,626.4600300000001
731,893981,27,175.26998999999998
732,893982,65,836.54998
733,893991,61,632.2800000000001
734,893992,24,569.15
735,894011,21,82.97
736,894012,15,93.63001
737,894021,16,53.31
738,894022,1,30.0
739,894031,25,753.6200099999999
740,894032,26,123.00003000000001
741,894041,27,835.55
742,894042,52,732.2499899999999
743,894051,14,83.31
744,894052,27,143.66
745,894061,9,155.97
746,894062,7,113.85000000000001
747,894072,61,2361.7000000000003
748,894081,57,345.21002000000004
749,894082,33,363.84999
750,894091,47,1054.27
751,894092,40,315.90999999999997
752,894111,32,170.20001000000002
753,894112,47,1250.4400300000002
754,894121,105,788.4
755,894122,88,437.19
756,894131,66,2875.7110000000002
757,894132,60,753.5400000000002
758,894141,87,746.49996
759,894142,65,749.0164500000001
760,894151,65,1957.44
761,894152,52,1053.84
762,894161,12,42.6
763,894162,22,1558.0800000000002
764,894171,56,361.62001
765,894172,8,46.93
766,894181,69,2274.77004
767,894191,21,72.37
768,894192,16,48.31
769,894201,100,2569.99999
770,894202,82,2670.64
771,894212,77,1592.35
772,894231,107,5481.77001
773,894232,44,577.1
774,894241,11,78.08
775,894242,14,132.83999999999997
776,894252,116,1041.4999999999998
777,894261,26,201.72
778,894262,25,1946.6600000000003
779,894271,8,104.25999999999999
780,894272,25,38.25
781,894281,82,2258.83
782,894291,138,2103.72343
783,894292,74,1291.28999
784,894301,33,813.6
785,894302,41,917.1899999999999
786,894321,82,1467.66999
787,894322,209,2395.75996
788,894331,74,304.84000000000003
789,894351,6,107.14
790,894352,29,202.32
791,894381,60,3086.86999
792,894382,37,655.5649300000001
793,894391,10,113.67999999999999
794,894392,11,465.91
795,894401,19,116.00002
796,894402,16,116.00001999999999
797,894412,11,1167.7600000000002
798,894421,54,399.28
799,894422,38,248.26
800,894431,45,315.93000000000006
801,894451,9,61.2
802,894461,13,151.82
803,894462,13,141.95895000000002
804,894471,52,1152.9
805,894472,32,303.76
806,894482,10,161.82
807,894491,9,63.57
808,894492,13,69.36
809,894501,39,1811.69
810,894502,7,378.51
811,894511,2,3.3100000000000005
812,894512,24,61.620000000000005
813,894521,35,2032.8500000000001
814,894522,16,183.97
815,894531,27,853.4
816,894532,40,375.77999
817,894541,13,183.92999999999998
818,894542,16,56.78
819,894551,20,125.9
820,894561,30,60.11
821,894562,45,109.38
822,894571,43,1267.01002
823,894572,76,1842.5800100000001
824,894581,67,1965.2099899999998
825,894582,71,724.38
826,894591,47,3618.7900000000004
827,894592,62,1088.7099899999998
828,894601,16,144.76
829,894602,9,180.35000000000002
830,894631,79,1399.5600000000002
831,894632,64,1025.8899800000002
832,894642,43,1752.6899999999998
833,894651,16,410.4
834,894652,32,1393.88
835,894671,27,353.89000999999996
836,894672,10,2151.87999
837,894681,68,994.2500000000001
838,894682,45,365.48999999999995
839,894701,39,379.24001000000004
840,894702,52,489.79
841,894711,17,130.00001
842,894721,41,339.46999999999997
843,894722,28,1347.8100000000002
844,894731,9,55.809999999999995
845,894732,42,591.2099799999999
846,894752,30,192.63000000000005
847,894761,104,1688.29
848,894771,30,2101.77159
849,894772,44,1284.36172
850,894781,27,83.57999999999998
851,894782,31,103.14999999999998
852,894791,46,247.24996000000002
853,894792,123,4129.0599999999995
854,894802,57,496.55
855,894811,13,904.88
856,894821,18,1243.19
857,894822,50,728.1700000000001
858,894831,40,2439.86
859,894832,44,2734.69
860,894841,36,937.3900000000001
861,894842,43,241.5
862,894851,15,207.74
863,894852,16,874.4399900000001
864,894861,47,379.78
865,894871,15,214.89999999999998
866,894872,15,80.69
867,894882,70,2814.6500000000005
868,894891,13,367.63999999999993
869,894892,14,71.40001
870,894901,29,776.79
871,894902,102,1861.9799999999998
872,894911,53,425.00001
873,894912,53,330.00001000000003
874,894922,10,1165.41
875,894942,49,4184.38001
876,894951,30,1074.5800000000002
877,894952,37,2672.208
878,894961,35,1147.0399900000002
879,894962,26,481.27
880,894972,37,129.99998
881,894982,24,109.85000000000001
882,894991,85,487.23
883,895001,11,44.71000000000001
884,895002,12,141.41
885,895012,71,1145.4800000000005
886,895021,43,527.69001
887,895022,61,2025.0600100000001
888,895031,20,227.13999
889,895032,2,50.0
890,895041,56,297.03996
891,895042,61,571.91001
892,895051,57,566.0699999999999
893,895052,20,53.19
894,895061,48,2177.29
895,895071,41,922.4200000000002
896,895072,40,2068.87
897,895081,28,989.4100000000001
898,895082,50,1373.76
899,895091,14,117.62
900,895092,14,294.90999999999997
901,895101,67,971.27
902,895102,65,1100.54
903,895111,79,746.73
904,895131,108,1677.4557
905,895132,95,1837.93999
906,895141,87,601.0399999999998
907,895151,37,1468.0399999999997
908,895152,33,986.5600000000001
909,895161,36,539.76
910,895162,50,697.42
911,895171,24,194.31
912,895172,20,126.43
913,895181,29,191.83999999999997
914,895182,29,184.45
915,895191,15,356.15
916,895192,51,277.0600100000001
917,895201,8,48.53
918,895211,11,556.56765
919,895212,20,698.7033200000001
920,895222,42,242.56
921,895231,32,521.45
922,895232,19,318.63
923,895241,26,904.5800000000002
924,895242,17,110.33999999999999
925,895251,19,366.97999999999996
926,895252,17,95.62
927,895261,84,830.82
928,895271,55,939.9399999999999
929,895272,46,491.67001000000005
930,895281,8,102.39
931,895282,11,389.39000000000004
932,895292,33,366.7
933,895301,5,932.8
934,895302,4,2808.3
935,895311,18,105.00001
936,895312,20,104.99999
937,895321,49,226.92
938,895322,62,447.65000999999995
939,895332,5,13.120000000000001
940,895341,34,1176.83
941,895342,27,509.14
942,895351,25,93.13000000000001
943,895352,51,244.02999999999997
944,895361,76,1609.508
945,895362,40,1404.29
946,895372,10,30.36
947,895381,42,464.80001
948,895382,37,447.96998999999994
949,895391,32,1863.46
950,895392,19,457.61
951,895402,9,51.14
952,895411,69,1477.8899999999999
953,895421,10,20.0
954,895422,58,167.2
955,895431,14,55.26
956,895432,16,63.410000000000004
957,895441,46,706.63
958,895442,42,350.26
959,895451,15,789.61
960,895452,17,146.48000000000002
961,895461,28,463.41
962,895462,28,445.21
963,895471,67,769.8100000000001
964,895472,48,5494.87998
965,895481,64,1465.7800100000002
966,895482,59,2942.4400300000007
967,895491,19,170.34999999999997
968,895492,25,143.71999
969,895501,39,384.22999999999996
970,895502,43,1100.6499999999999
971,895521,57,467.75
972,895522,71,214.05
973,895541,10,73.78
974,895542,36,200.61
975,895551,32,397.59998
976,895552,27,135.45001
977,895561,46,2091.3399999999997
978,895562,55,434.14
979,895571,18,1390.79
980,895572,16,72.5
981,895591,89,2183.84998
982,895592,62,2389.9699799999994
983,895601,23,429.93
984,895602,42,1400.25
985,895611,38,508.28000000000003
986,895612,49,1513.6
987,895621,25,84.65
988,895622,26,76.14998
989,895631,52,234.31001000000003
